country,implicit,plot,field_pair,carbon_intensity,treatment,WC,BD,VWC,WHC ,reduction,SOC,TOC,IOC
SE,SE-1H-C,1,1,H,C,8.41,1.43,12.03,29.11,0.29,1.96,2.03,0.07
SE,SE-1H-R,2,1,H,R,7.51,1.43,10.74,29.11,0.26,2.24,2.3,0.06
SE,SE-1H-RC,3,1,H,RC,5.83,1.43,8.34,29.11,0.2,2.03,2.04,0
SE,SE-1L-C,4,1,L,C,7.14,1.46,10.42,21.13,0.34,1.4,1.42,0.02
SE,SE-1L-R,5,1,L,R,5.03,1.46,7.34,21.13,0.24,1.45,1.47,0.02
SE,SE-1L-RC,6,1,L,RC,6.5,1.46,9.49,21.13,0.31,1.46,1.5,0.04
SE,SE-2H-C,7,2,H,C,11.09,1.35,14.97,33.09,0.34,2.33,2.34,0.01
SE,SE-2H-R,8,2,H,R,6.33,1.35,8.55,33.09,0.19,2.16,2.17,0.01
SE,SE-2H-RC,9,2,H,RC,7.28,1.35,9.83,33.09,0.22,2.3,2.31,0.01
SE,SE-2L-C,10,2,L,C,8.83,1.31,11.57,34.67,0.25,1.71,1.72,0.02
SE,SE-2L-R,11,2,L,R,4.94,1.31,6.47,34.67,0.14,1.72,1.73,0.01
SE,SE-2L-RC,12,2,L,RC,6.35,1.31,8.32,34.67,0.18,1.82,1.83,0.01
SE,SE-3H-C,13,3,H,C,9.59,1.35,12.95,33.68,0.28,2.52,3.07,0.55
SE,SE-3H-R,14,3,H,R,10.58,1.35,14.28,33.68,0.31,4.22,5.71,1.49
SE,SE-3H-RC,15,3,H,RC,10.79,1.35,14.57,33.68,0.32,3.46,4.57,1.11
SE,SE-3L-C,16,3,L,C,8.13,1.62,13.17,22.69,0.36,1.39,1.46,0.07
SE,SE-3L-R,17,3,L,R,5.78,1.62,9.36,22.69,0.25,1.45,1.47,0.02
SE,SE-3L-RC,18,3,L,RC,6.68,1.62,10.82,22.69,0.29,1.4,1.43,0.02
SE,SE-4H-C,19,4,H,C,12.01,1.2,14.41,39.79,0.3,2.58,2.62,0.04
SE,SE-4H-R,20,4,H,R,6.34,1.2,7.61,39.79,0.16,2.6,2.63,0.04
SE,SE-4H-RC,21,4,H,RC,7.88,1.2,9.46,39.79,0.2,2.55,2.59,0.04
SE,SE-4L-C,22,4,L,C,11.64,1.21,14.08,36.74,0.32,2.02,2.06,0.04
SE,SE-4L-R,23,4,L,R,5.77,1.21,6.98,36.74,0.16,2.03,2.09,0.06
SE,SE-4L-RC,24,4,L,RC,8.06,1.21,9.75,36.74,0.22,1.84,1.89,0.05
SE,SE-5H-C,25,5,H,C,10.59,1.29,13.66,37.87,0.28,2.11,2.14,0.02
SE,SE-5H-R,26,5,H,R,10.24,1.29,13.21,37.87,0.27,2.03,2.05,0.02
SE,SE-5H-RC,27,5,H,RC,12.04,1.29,15.53,37.87,0.32,1.71,1.88,0.16
SE,SE-5L-C,28,5,L,C,6.14,1.2,7.37,38.91,0.16,1.32,1.33,0.01
SE,SE-5L-R,29,5,L,R,5.17,1.2,6.2,38.91,0.13,1.34,1.36,0.02
SE,SE-5L-RC,30,5,L,RC,5.52,1.2,6.62,38.91,0.14,1.45,1.46,0.01
DE,DE-1H-C,1,1,H,C,20.19,0.94,18.98,32.3,0.63,2.25,2.53,0.29
DE,DE-1H-R,2,1,H,R,15.32,0.93,14.25,33.55,0.46,2.34,2.68,0.34
DE,DE-1H-RC,3,1,H,RC,19.24,0.99,19.05,35.57,0.54,2.32,2.62,0.3
DE,DE-1L-C,4,1,L,C,13.48,0.94,12.67,39.55,0.34,1.28,1.36,0.09
DE,DE-1L-R,5,1,L,R,9.3,1.05,9.77,36.83,0.25,1.28,1.37,0.09
DE,DE-1L-RC,6,1,L,RC,14.96,0.96,14.36,37.32,0.4,1.31,1.43,0.12
DE,DE-2H-C,7,2,H,C,16.39,0.96,15.73,35.36,0.46,2.1,3.51,1.41
DE,DE-2H-R,8,2,H,R,12.14,1.02,12.38,34.14,0.36,2.11,3.77,1.66
DE,DE-2H-RC,9,2,H,RC,17.59,0.89,15.66,37.1,0.47,1.93,3.63,1.7
DE,DE-2L-C,10,2,L,C,15.01,1.04,15.61,34.45,0.44,1.87,4.07,2.2
DE,DE-2L-R,11,2,L,R,10.78,1.05,11.32,32.76,0.33,1.94,5.19,3.26
DE,DE-2L-RC,12,2,L,RC,17.23,0.97,16.71,35.75,0.48,2.24,3.57,1.33
DE,DE-3H-C,13,3,H,C,18.88,1.08,20.39,37.51,0.5,1.55,1.6,0.05
DE,DE-3H-R,14,3,H,R,12.43,1.1,13.67,42.66,0.29,1.48,1.54,0.06
DE,DE-3H-RC,15,3,H,RC,17.85,1.08,19.28,35.1,0.51,1.5,1.56,0.06
DE,DE-3L-C,16,3,L,C,18.52,1.11,20.56,26.99,0.69,1.44,1.49,0.05
DE,DE-3L-R,17,3,L,R,13.67,1.14,15.58,29.71,0.46,1.58,1.62,0.05
DE,DE-3L-RC,18,3,L,RC,17.85,1.03,18.39,28.23,0.63,1.51,1.55,0.05
DE,DE-4H-C,19,4,H,C,15.54,1.02,15.85,43.01,0.36,1.5,2.26,0.77
DE,DE-4H-R,20,4,H,R,11.17,1,11.17,39.24,0.28,1.52,2.36,0.84
DE,DE-4H-RC,21,4,H,RC,15.48,1.03,15.94,39.65,0.39,1.5,2.55,1.06
DE,DE-4L-C,22,4,L,C,13.74,0.91,12.5,33.3,0.41,1.47,1.62,0.15
DE,DE-4L-R,23,4,L,R,10.2,0.97,9.89,36.35,0.28,1.38,1.52,0.14
DE,DE-4L-RC,24,4,L,RC,14.59,0.91,13.28,32.14,0.45,1.5,1.72,0.22
DE,DE-5H-C,25,5,H,C,9.6,0.93,8.93,41.45,0.23,1.54,1.59,0.05
DE,DE-5H-R,26,5,H,R,5.98,0.91,5.44,35.1,0.17,1.53,1.58,0.05
DE,DE-5H-RC,27,5,H,RC,11,0.99,10.89,37.24,0.3,1.57,1.61,0.04
DE,DE-5L-C,28,5,L,C,8.39,0.94,7.89,37.85,0.22,1.39,1.54,0.15
DE,DE-5L-R,29,5,L,R,6.49,0.9,5.84,37.34,0.17,1.28,1.41,0.13
DE,DE-5L-RC,30,5,L,RC,7.55,0.89,6.72,37.23,0.2,1.43,1.55,0.12
ES,ES-1H-C,1,1,H,C,7.56,1.71,12.93,21.91,0.35,0.62,1.35,0.73
ES,ES-1H-R,2,1,H,R,9.91,1.71,16.95,21.39,0.46,0.64,1.2,0.56
ES,ES-1H-RC,3,1,H,RC,8.47,1.82,15.42,17.67,0.48,0.72,1.56,0.84
ES,ES-1L-C,4,1,L,C,8.81,1.8,15.86,17.19,0.51,0.35,0.36,0.01
ES,ES-1L-R,5,1,L,R,10.18,1.53,15.58,27.35,0.37,0.51,1.25,0.74
ES,ES-1L-RC,6,1,L,RC,12.18,1.78,21.68,18.33,0.66,0.42,0.44,0.02
ES,ES-2H-C,7,2,H,C,12.35,1.64,20.25,23.01,0.54,0.5,0.52,0.02
ES,ES-2H-R,8,2,H,R,14.62,1.55,22.66,25.85,0.57,0.5,0.52,0.02
ES,ES-2H-RC,9,2,H,RC,11.86,1.68,19.92,20.59,0.58,0.4,0.42,0.02
ES,ES-2L-C,10,2,L,C,13.79,1.76,24.27,18.7,0.74,0.3,0.31,0.02
ES,ES-2L-R,11,2,L,R,11.73,1.6,18.77,17.97,0.65,0.38,0.4,0.02
ES,ES-2L-RC,12,2,L,RC,8.69,1.49,12.95,25.53,0.34,0.33,0.36,0.04
ES,ES-3H-C,13,3,H,C,7.02,1.56,10.95,26.12,0.27,1.91,8.19,6.28
ES,ES-3H-R,14,3,H,R,8.31,1.5,12.47,27.84,0.3,0.16,8.95,8.79
ES,ES-3H-RC,15,3,H,RC,7.42,1.64,12.17,22.4,0.33,0.52,9.03,8.51
ES,ES-3L-C,16,3,L,C,7.82,1.53,11.96,25.08,0.31,0.32,8.44,8.12
